section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728118281591,0.182927,-0.487805,-1.585366,-0.109863,-0.973755,0.100525,7.045524448673206,89.57578305659388,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728123221591,0.365854,-0.426829,-1.463415,-0.109436,-0.97583,0.101685,7.091011009031149,89.15245534672306,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728128161591,0.365854,-0.426829,-1.402439,-0.111877,-0.971741,0.0979,7.137695624971997,88.7293103906859,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728133101591,0.365854,-0.426829,-1.341463,-0.109863,-0.971497,0.096252,7.183463903416282,88.30612994396904,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728138041591,0.304878,-0.304878,-1.219512,-0.105103,-0.970764,0.098267,7.227757441614159,87.88250946805726,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728142981591,0.365854,-0.243902,-1.097561,-0.106934,-0.973572,0.099182,7.272970923624797,87.4593700823815,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728147921591,0.426829,-0.121951,-1.158537,-0.111023,-0.973633,0.099121,7.320472271301838,87.03685373322122,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728152861591,0.487805,-0.121951,-1.097561,-0.108948,-0.973206,0.102722,7.367035872132448,86.61468643166074,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728157801591,0.670732,-0.121951,-1.097561,-0.106995,-0.97052,0.101013,7.412801659601001,86.19350760054544,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728162741591,0.853659,-0.243902,-1.158537,-0.111572,-0.971375,0.103088,7.459814594339207,85.77363287019864,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728167681591,1.036585,-0.243902,-1.036585,-0.111084,-0.966675,0.100647,7.506807603041892,85.35486987308627,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728172621591,1.036585,-0.182927,-1.036585,-0.108093,-0.966919,0.103638,7.552690650900644,84.93617632951361,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728177561591,0.97561,-0.243902,-0.792683,-0.110352,-0.970764,0.102661,7.599089710178561,84.51751960853562,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728182501591,1.158537,-0.304878,-0.670732,-0.107239,-0.970886,0.101868,7.643794380799562,84.09987468575946,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728187441591,0.97561,-0.426829,-0.670732,-0.111938,-0.974731,0.102722,7.689675499393076,83.68180651174998,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728192381591,0.853659,-0.487805,-0.548781,-0.108887,-0.970154,0.102417,7.734129620960886,83.2633063209293,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728197321591,0.731707,-0.487805,-0.731707,-0.109009,-0.969177,0.103577,7.778487914834983,82.84450771168082,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728202261591,0.731707,-0.548781,-0.731707,-0.10968,-0.972046,0.10498,7.822601978807569,82.42604598352074,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728207201591,0.487805,-0.548781,-0.792683,-0.111877,-0.974487,0.100586,7.86741248514187,82.006802031024,,,,,
670415cc-f529-4f73-9e0a-e043a80634d4,e64c5bfd-eb1a-449e-8f60-829524227765,1690222728212141591,0.365854,-0.487805,-0.853659,-0.10907,-0.971191,0.104248,7.9113046177562865,81.58718099879496,,,,,
