section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913480213e+18,586.989,371.307,1,,,3.10423452541197,11.5749471492804
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913480626e+18,585.988,371.344,1,,,3.02811640168712,11.5724682453207
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.6903091348103e+18,584.684,371.406,1,,,2.92892439639127,11.5681403864489
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913481423e+18,583.707,371.414,1,,,2.85466461927614,11.5678698861268
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913482236e+18,583.414,367.736,1,,,2.83419087033206,11.8441791742261
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913482623e+18,582.804,363.164,1,,,2.79014531213122,12.1877605251504
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913483023e+18,578.947,362.866,1,,,2.49649763203226,12.2111851217696
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913483438e+18,573.989,369.674,1,,,2.11632074904112,11.7008161209386
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913484222e+18,559.887,389.987,1,,,1.04032698831626,10.1768368951898
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913484636e+18,547.511,403.847,1,,,0.102083912654783,9.13631335748022
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913485036e+18,541.825,415.318,1,,,-0.327359587386195,8.27458802070881
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913485423e+18,536.607,424.821,1,,,-0.720619742004399,7.56063320318917
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913486222e+18,531.504,435.285,1,,,-1.10421500065072,6.77442570292166
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913486623e+18,529.176,445.72,1,1.0,,-1.27820988853472,5.99056601303745
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913487023e+18,533.325,447.155,1,1.0,,-0.965707322962886,5.8829614211953
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.6903091348742e+18,537.831,443.448,1,1.0,,-0.62674042693795,6.16149129978979
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913488253e+18,543.652,437.686,1,1.0,,-0.188591487388736,6.59438216767941
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913488617e+18,543.462,436.188,1,1.0,,-0.202960396716208,6.70687465359216
