section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913611202e+18,48.475613,49.939026,6.52439,-0.09668,-0.870667,0.132202,7.29396457873159,89.81434796871,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913611696e+18,47.439026,46.707317,6.829268,-0.095703,-0.867065,0.130188,7.57147953081241,89.6236693445541,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.6903091361219e+18,46.158539,43.292683,7.5,-0.095947,-0.866333,0.137573,7.83207488647278,89.4268229298248,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913612684e+18,45.0,40.0,8.414635,-0.098389,-0.868042,0.14801,8.07728386289514,89.2245444713263,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913613178e+18,43.597561,36.829269,8.963415,-0.098511,-0.869812,0.153381,8.30659681180387,89.0154939746454,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913613672e+18,42.560978,33.536587,9.695122,-0.099304,-0.873779,0.158752,8.51965085084191,88.8015348618312,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913614166e+18,41.890244,30.42683,9.878049,-0.099548,-0.876282,0.158691,8.71718886157532,88.5844021385281,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.6903091361466e+18,40.914635,27.256098,10.243902,-0.09491,-0.869202,0.152405,8.89717341358002,88.3624300493802,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913615154e+18,39.878048,24.390244,11.158537,-0.09613,-0.867615,0.151184,9.06372210761802,88.135685099254,,,,,
95561e95-0dc0-494c-bb73-6d0b1523d204,faca2019-b23e-4a86-8be0-84c5b773effa,1.69030913615648e+18,38.780487,21.585367,12.134147,-0.095398,-0.867493,0.157837,9.21604955906855,87.9037823144333,,,,,
