section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913460065e+18,505.077,572.157,1,1.0,,0.883627230048705,-1.19375790247523
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913460457e+18,505.544,572.441,1,1.0,,0.91866079352772,-1.21505043479377
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913460852e+18,506.316,572.607,1,1.0,,0.976468289135161,-1.22749578778069
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913461255e+18,506.78,572.602,1,1.0,,1.01125773870941,-1.22711020546408
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913462049e+18,509.102,572.618,1,1.0,,1.18525761392695,-1.22825993008401
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913462458e+18,510.604,571.496,1,1.0,,1.29775451997076,-1.14414033268037
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913462859e+18,510.705,571.552,1,1.0,,1.30530374510914,-1.14835422152921
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913463246e+18,510.445,571.732,1,1.0,,1.28582291058741,-1.16179612258103
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913464067e+18,507.051,571.98,1,1.0,,1.03154442247427,-1.18049801746963
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913464446e+18,505.969,572.384,1,1.0,,0.950518028901425,-1.21076590275515
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913464842e+18,504.51,572.949,1,1.0,,0.841164762799918,-1.2531440458448
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.6903091346525e+18,504.506,573.307,1,1.0,,0.840867713581976,-1.27999840431464
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913466037e+18,505.067,573.964,1,1.0,,0.882946187283748,-1.32929273009294
