section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913553271e+18,-0.731707,-0.731707,-0.731707,-0.028992,-0.933044,0.295288,7.00965839526302,89.5687769185733,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913553765e+18,-0.609756,-0.670732,-0.609756,-0.026184,-0.932495,0.293213,7.01832394146209,89.1381422875473,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913554259e+18,-0.731707,-0.792683,-1.036585,-0.026062,-0.933899,0.293701,7.02625713606264,88.7069499253668,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913554753e+18,-0.731707,-0.792683,-0.914634,-0.02771,-0.932617,0.29187,7.03495198186852,88.275851001161,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913555247e+18,-0.731707,-0.853659,-1.036585,-0.03009,-0.931946,0.289856,7.04440858376893,87.8448798148078,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913555741e+18,-0.792683,-0.853659,-0.914634,-0.028564,-0.935364,0.291077,7.05310237996255,87.4137001945445,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913556235e+18,-0.792683,-0.853659,-0.914634,-0.024719,-0.936462,0.291382,7.0599737915833,86.9826077369195,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913556729e+18,-0.792683,-1.036585,-0.97561,-0.025635,-0.932739,0.290405,7.06637099739189,86.5516878815928,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913557223e+18,-0.97561,-1.097561,-1.341463,-0.027039,-0.935303,0.290405,7.07294553876906,86.1200613131638,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913557717e+18,-0.97561,-1.219512,-1.097561,-0.029663,-0.931824,0.289368,7.08024161416319,85.6886777360113,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913558211e+18,-0.853659,-1.219512,-0.97561,-0.023071,-0.930542,0.2901,7.08447595559747,85.2580327659173,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913558705e+18,-0.914634,-1.280488,-0.97561,-0.023926,-0.931763,0.29187,7.08877522358225,84.8273394606827,,,,,
965bc831-22f2-469e-8ed8-1df36e90e0aa,ec7bbf08-5a8b-4a7a-a3d5-c538497c7bc5,1.69030913559199e+18,-1.036585,-1.402439,-0.853659,-0.024536,-0.931335,0.290588,7.09280196736296,84.3963149721887,,,,,
